year,utilityNumber,utilityName,state,part,serviceType,dataType,ownership,baCode,resRev,resSales,resCust,resPrice,comRev,comSales,comCust,comPrice,indRev,indSales,indCust,indPrice,transRev,transSales,transCust,transPrice,totalRev,totalSales,totalCust,totalPrice
2002,19160,"Tri-County Electric Coop, Inc",CO,A,Bundled,O,Cooperative,,9,94,6,9.57,16,116,28,13.79,0,0,0,,0,0,0,,25,210,34,11.9
2002,17592,Southeast Colorado Power Assn,CO,A,Bundled,O,Cooperative,,6360,59237,7432,10.74,4871,59284,1167,8.22,3890,58306,1312,6.67,51,278,10,18.35,15172,177105,9921,8.57
2002,17834,Springfield City of,CO,A,Bundled,O,Municipal,,420,5495,784,7.64,208,2621,155,7.94,195,2890,15,6.75,33,596,108,5.54,856,11602,1062,7.38
2002,17715,Southwestern Electric Coop Inc,CO,A,Bundled,O,Cooperative,,7,55,7,12.73,3,27,2,11.11,0,0,0,,0,0,0,,10,82,9,12.2
2002,27058,"High West Energy, Inc",CO,A,Bundled,O,Cooperative,,398,5643,587,7.05,263,3968,63,6.63,160,2379,85,6.73,199,3151,19,6.32,1020,15141,754,6.74
2002,27000,Western Area Power Administration,CO,A,Bundled,O,Federal,,0,0,0,,0,0,0,,0,0,0,,1687,110403,14,1.53,1687,110403,14,1.53
2002,21081,Yampa Valley Electric Assn Inc,CO,A,Bundled,O,Cooperative,,14257,181654,18491,7.85,12615,156596,3647,8.06,10022,147337,15,6.8,377,3680,99,10.24,37271,489267,22252,7.62
2002,21075,Y-W Electric Assn Inc,CO,A,Bundled,O,Cooperative,,3663,47175,4771,7.76,1720,25891,1163,6.64,17439,269397,2125,6.47,58,646,117,8.98,22880,343109,8176,6.67
2002,21021,Wray City of,CO,A,Bundled,O,Municipal,,657,8475,973,7.75,945,12471,279,7.58,0,0,0,,0,0,0,,1602,20946,1252,7.65
2002,21143,Yuma City of,CO,A,Bundled,O,Municipal,,829,10000,1197,8.29,678,9000,237,7.53,0,0,0,,268,4000,62,6.7,1775,23000,1496,7.72
2002,40230,Deseret Generation & Tran Coop,CO,A,Bundled,O,Cooperative,,0,0,0,,0,0,0,,1203,34379,1,3.5,0,0,0,,1203,34379,1,3.5
2002,20576,"White River Electric Assn, Inc",CO,A,Bundled,O,Cooperative,,1289,17056,2194,7.56,1832,26296,541,6.97,10280,215886,8,4.76,40,505,35,7.92,13441,259743,2778,5.17
2002,20510,"Wheatland Electric Coop, Inc",CO,A,Bundled,O,Cooperative,,23,195,33,11.79,23,151,20,15.23,0,0,0,,1,6,1,16.67,47,352,54,13.35
2002,14054,Oak Creek Town of,CO,A,Bundled,O,Municipal,,313,3678,499,8.51,162,1911,60,8.48,0,0,0,,,0,0,,475,5589,559,8.5
2002,13058,"Mountain View Elec Assn, Inc",CO,A,Bundled,O,Cooperative,,29096,326486,31008,8.91,8805,120321,2451,7.32,3998,86212,13,4.64,723,8908,268,8.12,42622,541927,33740,7.86
2002,13050,"Mountain Parks Electric, Inc",CO,A,Bundled,O,Cooperative,,9347,119931,13264,7.79,5768,95978,2844,6.01,757,17969,6,4.21,71,757,10,9.38,15943,234635,16124,6.79
2002,12698,Aquila Inc,CO,A,Bundled,O,Investor Owned,,40268,542896,75726,7.42,34557,604326,10704,5.72,18526,410067,106,4.52,4851,85731,418,5.66,98202,1643020,86954,5.98
2002,12866,Moon Lake Electric Assn Inc,CO,A,Bundled,O,Cooperative,,764,11962,1437,6.39,7731,119235,1043,6.48,18577,325389,7,5.71,32,273,4,11.72,27104,456859,2491,5.93
2002,12860,Morgan County Rural Elec Assn,CO,A,Bundled,O,Cooperative,,4517,51606,4199,8.75,1245,15133,909,8.23,2588,44699,171,5.79,6639,93831,1877,7.08,14989,205269,7156,7.3
2002,15466,Public Service Co of Colorado,CO,A,Bundled,O,Investor Owned,,585034,8128867,1049670,7.2,661969,12396124,138157,5.34,204986,5011832,270,4.09,33022,277595,70004,11.9,1485011,25814418,1258101,5.75
2002,16649,Sangre De Cristo Elec Assn Inc,CO,A,Bundled,O,Cooperative,,6291,59510,8842,10.57,2554,33108,794,7.71,0,0,0,,51,429,35,11.89,8896,93047,9671,9.56
2002,16622,"San Miguel Power Assn, Inc",CO,A,Bundled,O,Cooperative,,8225,79792,8815,10.31,6906,81071,2165,8.52,66,826,1,7.99,146,1077,56,13.56,15343,162766,11037,9.43
2002,16616,"San Isabel Electric Assn, Inc",CO,A,Bundled,O,Cooperative,,12527,123967,17354,10.11,6355,67457,2305,9.42,2800,75886,6,3.69,95,458,37,20.74,21777,267768,19702,8.13
2002,16603,"San Luis Valley R E C, Inc",CO,A,Bundled,O,Cooperative,,6006,56953,7995,10.55,2629,29953,869,8.78,292,5738,1,5.09,10905,136134,2472,8.01,19832,228778,11337,8.67
2002,15257,"Poudre Valley R E A, Inc",CO,A,Bundled,O,Cooperative,,20719,306470,27408,6.76,3317,46274,2722,7.17,17620,358673,849,4.91,102,1389,111,7.34,41758,712806,31090,5.86
2003,7826,City of Gunnison,CO,A,Bundled,O,Municipal,,1250,22762,2952,5.49,1397,29055,775,4.81,280,7279,1,3.85,0,0,0,,2927,59096,3728,4.95
2003,7787,Gunnison County Elec Assn.,CO,A,Bundled,O,Cooperative,,5586,63179,7487,8.84,2669,34624,1304,7.71,442,6532,6,6.77,0,0,0,,8697,104335,8797,8.34
2003,7563,"Grand Valley Rrl Pwr Line, Inc",CO,A,Bundled,O,Cooperative,,9811,108707,11683,9.03,4106,46146,1645,8.9,691,10083,91,6.85,,,,,14608,164936,13419,8.86
2003,8777,City of Holyoke,CO,A,Bundled,O,Municipal,,680,11086,958,6.13,264,4767,227,5.54,326,5301,18,6.15,0,0,0,,1270,21154,1203,6
2003,8751,Town of Holly,CO,A,Bundled,O,Municipal,,306,4641,619,6.59,312,2009,267,15.53,0,0,0,,0,0,0,,618,6650,886,9.29
2003,8773,"Holy Cross Electric Assn, Inc",CO,A,Bundled,O,Cooperative,,34721,481317,40412,7.21,24031,410537,8063,5.85,3511,66680,17,5.27,0,0,0,,62263,958534,48492,6.5
2003,8311,Town of Haxtun,CO,A,Bundled,O,Municipal,,433,4940,571,8.77,168,2290,94,7.34,0,0,0,,0,0,0,,601,7230,665,8.31
